_RAJ2000;_DEJ2000;recno;HR;Name;HD;ADS;VarID;RAJ2000;DEJ2000;Vmag;B-V;SpType;NoteFlag
002.352917;-45.747500;      25;  25;   Eps Phe;   496;     ;         ;00 09 24.7;-45 44 51; 3.88; 1.03;  K0III             ;
003.660000;-18.932778;      48;  48;  7    Cet;  1038;     ;AE Cet   ;00 14 38.4;-18 55 58; 4.44; 1.66;  M3III             ;*
004.857083; -8.823889;      74;  74;  8Iot Cet;  1522;     ;  123    ;00 19 25.7;-08 49 26; 3.56; 1.22;  K1.5III           ;*
005.017917;-64.874722;      77;  77;   Zet Tuc;  1581;     ;         ;00 20 04.3;-64 52 29; 4.23; 0.58;  F9V               ;
006.550833;-43.680000;     100; 100;   Kap Phe;  2262;     ;         ;00 26 12.2;-43 40 48; 3.94; 0.17;  A7V               ;
007.886250;-62.958056;     126; 126;   Bet1Tuc;  2884;     ;         ;00 31 32.7;-62 57 29; 4.37;-0.07;  B9V               ;*
008.250000;+62.931667;     130; 130; 15Kap Cas;  2905;     ;Kap Cas  ;00 33 00.0;+62 55 54; 4.16; 0.14;  B1Ia              ;*
009.242917;+53.896944;     153; 153; 17Zet Cas;  3360;     ;  225    ;00 36 58.3;+53 53 49; 3.66;-0.20;  B2IV              ;*
009.220417;+33.719444;     154; 154; 29Pi  And;  3369;  513;  227    ;00 36 52.9;+33 43 10; 4.36;-0.14;  B5V               ;*
009.638750;+29.311667;     163; 163; 30Eps And;  3546;     ;         ;00 38 33.3;+29 18 42; 4.37; 0.87;  G6IIIFe-3CH1      ;
010.838333;-57.463056;     191; 191;   Eta Phe;  4150;     ;         ;00 43 21.2;-57 27 47; 4.36; 0.00;  A0IV              ;
011.834583;+24.267222;     215; 215; 34Zet And;  4502;     ;Zet And  ;00 47 20.3;+24 16 02; 4.06; 1.12;  K1IIe             ;*
012.170833; +7.585000;     224; 224; 63Del Psc;  4656;     ;         ;00 48 41.0;+07 35 06; 4.43; 1.50;  K4IIIb            ;*
014.188333;+38.499444;     269; 269; 37Mu  And;  5448;  788;         ;00 56 45.2;+38 29 58; 3.87; 0.13;  A5V               ;*
014.301667;+23.417500;     271; 271; 38Eta And;  5516;     ;         ;00 57 12.4;+23 25 03; 4.42; 0.94;  G8IIIb            ;*
014.651667;-29.357500;     280; 280;   Alp Scl;  5737;     ;  359    ;00 58 36.4;-29 21 27; 4.31;-0.16;  B7IIIp            ;*
017.186250;+86.256944;     285; 285;          ;  5848;     ;         ;01 08 44.7;+86 15 25; 4.25; 1.21;  K2II-III          ;*
015.735833; +7.890000;     294; 294; 71Eps Psc;  6186;     ;         ;01 02 56.6;+07 53 24; 4.28; 0.96;  K0III             ;*
017.375833;+47.241944;     335; 335; 42Phi And;  6811;  940;Var?     ;01 09 30.2;+47 14 31; 4.25;-0.07;  B7Ve              ;*
017.096250;-55.245833;     338; 338;   Zet Phe;  6882;     ;Zet Phe  ;01 08 23.1;-55 14 45; 3.92;-0.08;  B6V+B9V           ;*
017.775833;+55.149722;     343; 343; 33The Cas;  6961;     ;  423    ;01 11 06.2;+55 08 59; 4.33; 0.17;  A7V               ;*
021.005833; -8.183333;     402; 402; 45The Cet;  8512; 1118;         ;01 24 01.4;-08 11 00; 3.60; 1.06;  K0III-IIIb        ;*
022.870833;+15.345833;     437; 437; 99Eta Psc;  9270; 1199;  532    ;01 31 29.0;+15 20 45; 3.62; 0.97;  G7IIIa            ;*
022.812917;-49.072778;     440; 440;   Del Phe;  9362;     ;         ;01 31 15.1;-49 04 22; 3.95; 0.99;  K0III             ;
024.199167;+41.405556;     458; 458; 50Ups And;  9826;     ;         ;01 36 47.8;+41 24 20; 4.09; 0.54;  F8V               ;*
024.498333;+48.628333;     464; 464; 51    And;  9927;     ;         ;01 37 59.6;+48 37 42; 3.57; 1.28;  K3-III            ;*
025.357917; +5.487500;     489; 489;106Nu  Psc; 10380;     ;         ;01 41 25.9;+05 29 15; 4.44; 1.36;  K3IIIbBa0.1       ;
025.915000;+50.688611;     496; 496;   Phi Per; 10516;     ;Phi Per  ;01 43 39.6;+50 41 19; 4.07;-0.04;  B2Vep             ;*
026.348333; +9.157778;     510; 510;110Omi Psc; 10761;     ;  615    ;01 45 23.6;+09 09 28; 4.26; 0.96;  G8III             ;*
027.865000;-10.335000;     539; 539; 55Zet Cet; 11353;     ;  638    ;01 51 27.6;-10 20 06; 3.73; 1.14;  K0IIIBa0.1        ;*
028.411667;-46.302500;     555; 555;   Psi Phe; 11695;     ;Psi Phe  ;01 53 38.8;-46 18 09; 4.41; 1.59;  M4III             ;*
028.989583;-51.608889;     566; 566;   Chi Eri; 11937;     ;  671    ;01 55 57.5;-51 36 32; 3.70; 0.85;  G8IIIbCNIV        ;*
030.858750;+72.421389;     580; 580; 50    Cas; 12216;     ;         ;02 03 26.1;+72 25 17; 3.98;-0.01;  A2V               ;
030.001250;-21.077778;     585; 585; 59Ups Cet; 12274;     ;         ;02 00 00.3;-21 04 40; 4.00; 1.57;  M0III             ;*
030.511667; +2.763611;     596; 596;113Alp Psc; 12447; 1615;  705    ;02 02 02.8;+02 45 49; 4.33; 0.03;  A0pSiSr           ;*
033.250000; +8.846667;     649; 649; 65Xi 1Cet; 13611;     ;  749    ;02 13 00.0;+08 50 48; 4.37; 0.89;  G6II-IIICN-2      ;*
034.328750;+33.847222;     664; 664;  9Gam Tri; 14055;     ;         ;02 17 18.9;+33 50 50; 4.01; 0.02;  A1Vnn             ;
034.127500;-51.512222;     674; 674;   Phi Eri; 14228;     ;         ;02 16 30.6;-51 30 44; 3.56;-0.12;  B8V-IV            ;*
035.437083;-68.659444;     705; 705;   Del Hyi; 15008;     ;         ;02 21 44.9;-68 39 34; 4.09; 0.03;  A3V               ;
037.039583; +8.460000;     718; 718; 73Xi 2Cet; 15318;     ;         ;02 28 09.5;+08 27 36; 4.28;-0.06;  B9III             ;
036.746250;-47.703889;     721; 721;   Kap Eri; 15371;     ;         ;02 26 59.1;-47 42 14; 4.25;-0.14;  B5IV              ;*
039.870833; +0.328611;     779; 779; 82Del Cet; 16582;     ;Del Cet  ;02 39 29.0;+00 19 43; 4.07;-0.22;  B2IV              ;*
040.166667;-39.855556;     794; 794;   Iot Eri; 16815;     ;         ;02 40 40.0;-39 51 20; 4.11; 1.02;  K0III             ;
041.050000;+49.228333;     799; 799; 13The Per; 16895; 2081;  902    ;02 44 12.0;+49 13 42; 4.12; 0.49;  F8V               ;*
039.897500;-68.266944;     806; 806;   Eps Hyi; 16978;     ;         ;02 39 35.4;-68 16 01; 4.11;-0.06;  B9V               ;*
041.030833;-13.858611;     811; 811; 89Pi  Cet; 17081;     ;         ;02 44 07.4;-13 51 31; 4.25;-0.14;  B7V               ;
041.235417;+10.114167;     813; 813; 87Mu  Cet; 17094;     ;  909    ;02 44 56.5;+10 06 51; 4.27; 0.31;  F0IV              ;*
041.275833;-18.572500;     818; 818;  1Tau1Eri; 17206;     ;         ;02 45 06.2;-18 34 21; 4.47; 0.48;  F6V               ;*
042.674167;+55.895556;     834; 834; 15Eta Per; 17506; 2157;         ;02 50 41.8;+55 53 44; 3.76; 1.68;  K3-Ib-IIa         ;*
042.495833;+27.260556;     838; 838; 41    Ari; 17573; 2159;  951    ;02 49 59.0;+27 15 38; 3.63;-0.10;  B8Vn              ;*
042.646250;+38.318611;     840; 840; 16    Per; 17584;     ;  956    ;02 50 35.1;+38 19 07; 4.23; 0.34;  F2III             ;*
042.272500;-32.405833;     841; 841;   Bet For; 17652;     ;         ;02 49 05.4;-32 24 21; 4.46; 0.99;  K0-IIIFe-0.5      ;*
043.564583;+52.762500;     854; 854; 18Tau Per; 17878; 2202;Tau Per  ;02 54 15.5;+52 45 45; 3.95; 0.74;  G4III+A4V         ;*
043.470417;-49.890278;     868; 868;          ; 18242;     ;R Hor    ;02 53 52.9;-49 53 25; 4.00; 2.11;  M7IIIe            ;*
044.107083; -8.898056;     874; 874;  3Eta Eri; 18322;     ;  988    ;02 56 25.7;-08 53 53; 3.89; 1.11;  K1-IIIbBa0.2:     ;*
044.567917;-40.304444;     898; 898;   The2Eri; 18623;     ; 1002    ;02 58 16.3;-40 18 16; 4.35; 0.08;  A1V               ;*
045.597917;-23.624444;     919; 919; 11Tau3Eri; 18978;     ;         ;03 02 23.5;-23 37 28; 4.09; 0.16;  A4IV              ;*
047.266667;+49.613333;     937; 937;   Iot Per; 19373;     ;         ;03 09 04.0;+49 36 48; 4.05; 0.59;  G0V               ;*
047.374167;+44.857222;     941; 941; 27Kap Per; 19476; 2368; 1055    ;03 09 29.8;+44 51 26; 3.80; 0.98;  K0III             ;*
047.907500;+19.726667;     951; 951; 57Del Ari; 19787;     ; 1066    ;03 11 37.8;+19 43 36; 4.35; 1.03;  K2III             ;*
048.017917;-28.986944;     963; 963;   Alp For; 20010; 2402; 1074    ;03 12 04.3;-28 59 13; 3.87; 0.52;  F8V               ;*
050.085000;+29.048333;     999; 999;          ; 20644;     ;         ;03 20 20.4;+29 02 54; 4.47; 1.55;  K2II-III          ;
049.879167;-21.757778;    1003;1003; 16Tau4Eri; 20720; 2472;Tau4 Eri ;03 19 31.0;-21 45 28; 3.69; 1.62;  M3.5IIIaCa-1      ;*
049.982083;-43.069722;    1008;1008;          ; 20794;     ;         ;03 19 55.7;-43 04 11; 4.27; 0.71;  G8V               ;*
051.203333; +9.028889;    1030;1030;  1Omi Tau; 21120;     ; 1134    ;03 24 48.8;+09 01 44; 3.60; 0.89;  G6IIIFe-1         ;*
052.267083;+59.940278;    1035;1035;          ; 21291; 2544; 1152    ;03 29 04.1;+59 56 25; 4.21; 0.41;  B9Ia              ;*
