_RAJ2000;_DEJ2000;recno;HR;Name;HD;ADS;VarID;RAJ2000;DEJ2000;Vmag;B-V;SpType;NoteFlag
019.050417;+71.743889;     365; 365;          ;  7389;     ;         ;01 16 12.1;+71 44 38; 7.83; 0.78;  K1V               ;*
074.902083;-14.805833;    1607;1607;          ; 31996;     ;R Lep    ;04 59 36.5;-14 48 21; 7.71; 5.74;  C6IIe             ;*
083.817083; -5.385278;    1894;1894; 41The1Ori; 37021; 4186;BM Ori   ;05 35 16.1;-05 23 07; 7.96; 0.24;  B0V               ;*
106.839167;+22.703611;    2671;2671;          ; 53791;     ;R Gem    ;07 07 21.4;+22 42 13; 7.68; 2.21;  S3.9e             ;*
126.667083;+24.535278;    3313;3313; 24    Cnc; 71153; 6811; 4076    ;08 26 40.1;+24 32 07; 7.81; 0.52;  F7V               ;*
217.131250;+28.289167;    5414;5414;          ;127043; 9277;         ;14 28 31.5;+28 17 21; 7.62;-0.01;  A1V               ;*
