_RAJ2000;_DEJ2000;recno;HR;Name;HD;ADS;VarID;RAJ2000;DEJ2000;Vmag;B-V;SpType;NoteFlag
269.756667; -9.773611;    6698;6698; 64Nu  Oph;163917;     ;         ;17 59 01.6;-09 46 25; 3.34; 0.99;  K0IIIaCN-1        ;
271.452083;-30.424167;    6746;6746; 10Gam2Sgr;165135;     ;10173    ;18 05 48.5;-30 25 27; 2.99; 1.00;  K0III             ;*
274.406667;-36.761667;    6832;6832;   Eta Sgr;167618;     ;Eta Sgr  ;18 17 37.6;-36 45 42; 3.11; 1.56;  M3.5III           ;*
275.248750;-29.828056;    6859;6859; 19Del Sgr;168454;11264;         ;18 20 59.7;-29 49 41; 2.70; 1.38;  K3-IIIa*          ;*
275.327500; -2.898889;    6869;6869; 58Eta Ser;168723;     ;10675    ;18 21 18.6;-02 53 56; 3.26; 0.94;  K0III-IV          ;*
276.992500;-25.421667;    6913;6913; 22Lam Sgr;169916;     ;         ;18 27 58.2;-25 25 18; 2.81; 1.04;  K1+IIIb           ;*
281.414167;-26.990833;    7039;7039; 27Phi Sgr;173300;     ;         ;18 45 39.4;-26 59 27; 3.17;-0.11;  B8III             ;*
282.520000;+33.362778;    7106;7106; 10Bet Lyr;174638;11745;Bet Lyr  ;18 50 04.8;+33 21 46; 3.45; 0.00;  B8IIpe            ;*
284.735833;+32.689444;    7178;7178; 14Gam Lyr;176437;11908;11624    ;18 58 56.6;+32 41 22; 3.24;-0.05;  B9III             ;*
285.652917;-29.880278;    7194;7194; 38Zet Sgr;176687;11950;         ;19 02 36.7;-29 52 49; 2.60; 0.08;  A2III+A4IV        ;*
286.735000;-27.670556;    7234;7234; 40Tau Sgr;177716;     ;         ;19 06 56.4;-27 40 14; 3.32; 1.19;  K1+IIIb           ;*
286.352500;+13.863333;    7235;7235; 17Zet Aql;177724;12026;11724    ;19 05 24.6;+13 51 48; 2.99; 0.01;  A0Vn              ;*
286.562083; -4.882500;    7236;7236; 16Lam Aql;177756;     ;         ;19 06 14.9;-04 52 57; 3.44;-0.09;  B9Vn              ;
287.440833;-21.023611;    7264;7264; 41Pi  Sgr;178524;     ;11769    ;19 09 45.8;-21 01 25; 2.89; 0.35;  F2II              ;*
288.138750;+67.661667;    7310;7310; 57Del Dra;180711;     ;         ;19 12 33.3;+67 39 42; 3.07; 1.00;  G9III             ;*
291.374583; +3.114722;    7377;7377; 30Del Aql;182640;     ;12004    ;19 25 29.9;+03 06 53; 3.36; 0.32;  F3IV              ;*
292.680417;+27.959722;    7417;7417;  6Bet1Cyg;183912;12540;12105    ;19 30 43.3;+27 57 35; 3.08; 1.13;  K3II+B9.5V        ;*
296.565000;+10.613333;    7525;7525; 50Gam Aql;186791;     ;         ;19 46 15.6;+10 36 48; 2.72; 1.52;  K3II              ;*
296.243750;+45.130833;    7528;7528; 18Del Cyg;186882;12880;12380/1  ;19 44 58.5;+45 07 51; 2.87;-0.03;  B9.5IV+F1V        ;*
299.689167;+19.492222;    7635;7635; 12Gam Sge;189319;     ;12638    ;19 58 45.4;+19 29 32; 3.47; 1.57;  M0-III            ;*
302.826250; -0.821389;    7710;7710; 65The Aql;191692;     ;         ;20 11 18.3;-00 49 17; 3.23;-0.07;  B9.5III           ;*
305.252917;-14.781389;    7776;7776;  9Bet Cap;193495;     ;         ;20 21 00.7;-14 46 53; 3.08; 0.79;  F8V+A0            ;*
309.391667;-47.291389;    7869;7869;   Alp Ind;196171;     ;         ;20 37 34.0;-47 17 29; 3.11; 1.00;  K0IIICNIII-IV     ;
311.239583;-66.203056;    7913;7913;   Bet Pav;197051;     ;         ;20 44 57.5;-66 12 11; 3.42; 0.16;  A7III             ;*
311.322500;+61.838889;    7957;7957;  3Eta Cep;198149;14276;         ;20 45 17.4;+61 50 20; 3.43; 0.92;  K0IV              ;*
318.234167;+30.226944;    8115;8115; 64Zet Cyg;202109;     ;         ;21 12 56.2;+30 13 37; 3.20; 0.99;  G8+III-IIIaBa0.6  ;*
322.889583; -5.571111;    8232;8232; 22Bet Aqr;204867;15050;         ;21 31 33.5;-05 34 16; 2.91; 0.83;  G0Ib              ;*
322.165000;+70.560833;    8238;8238;  8Bet Cep;205021;15032;Bet Cep  ;21 28 39.6;+70 33 39; 3.23;-0.22;  B1IV              ;*
326.760000;-16.127222;    8322;8322; 49Del Cap;207098;15314;Del Cap  ;21 47 02.4;-16 07 38; 2.87; 0.29;  Am                ;*
328.482083;-37.365000;    8353;8353;   Gam Gru;207971;     ;         ;21 53 55.7;-37 21 54; 3.01;-0.12;  B8III             ;
331.445833; -0.319722;    8414;8414; 34Alp Aqr;209750;     ;         ;22 05 47.0;-00 19 11; 2.96; 0.98;  G2Ib              ;*
332.713750;+58.201111;    8465;8465; 21Zet Cep;210745;     ;14066    ;22 10 51.3;+58 12 04; 3.35; 1.57;  K1.5Ib            ;*
334.625417;-60.259722;    8502;8502;   Alp Tuc;211416;     ;         ;22 18 30.1;-60 15 35; 2.86; 1.39;  K3III             ;*
340.365417;+10.831389;    8634;8634; 42Zet Peg;214923;16182;         ;22 41 27.7;+10 49 53; 3.40;-0.09;  B8V               ;*
340.750417;+30.221389;    8650;8650; 44Eta Peg;215182;16211;14285    ;22 43 00.1;+30 13 17; 2.94; 0.86;  G2II-III+F0V      ;*
342.138750;-51.316944;    8675;8675;   Eps Gru;215789;     ;14320    ;22 48 33.3;-51 19 01; 3.49; 0.08;  A3V               ;
342.500833;+24.601667;    8684;8684; 48Mu  Peg;216131;     ;         ;22 50 00.2;+24 36 06; 3.48; 0.93;  G8+III            ;
343.662500;-15.820833;    8709;8709; 76Del Aqr;216627;     ;14356    ;22 54 39.0;-15 49 15; 3.27; 0.05;  A3V               ;*
354.836667;+77.632500;    8974;8974; 35Gam Cep;222404;     ;14656    ;23 39 20.8;+77 37 57; 3.21; 1.03;  K1III-IV          ;*
