_RAJ2000;_DEJ2000;recno;HR;Name;HD;ADS;VarID;RAJ2000;DEJ2000;Vmag;B-V;SpType;NoteFlag
002.097083;+29.090556;      15;  15; 21Alp And;   358;   94;Alp And  ;00 08 23.3;+29 05 26; 2.06;-0.11;  B8IVpMnHg         ;*
002.294583;+59.149722;      21;  21; 11Bet Cas;   432;  107;Bet Cas  ;00 09 10.7;+59 08 59; 2.27; 0.34;  F2III-IV          ;*
006.570833;-42.306111;      99;  99;   Alp Phe;  2261;     ;         ;00 26 17.0;-42 18 22; 2.39; 1.09;  K0III             ;*
010.127083;+56.537222;     168; 168; 18Alp Cas;  3712;  561;Alp Cas  ;00 40 30.5;+56 32 14; 2.23; 1.17;  K0IIIa            ;*
010.897500;-17.986667;     188; 188; 16Bet Cet;  4128;     ;  272    ;00 43 35.4;-17 59 12; 2.04; 1.02;  G9.5IIICH-1       ;*
014.177083;+60.716667;     264; 264; 27Gam Cas;  5394;  782;Gam Cas  ;00 56 42.5;+60 43 00; 2.47;-0.15;  B0IVe             ;*
017.432917;+35.620556;     337; 337; 43Bet And;  6860;  949;  414    ;01 09 43.9;+35 37 14; 2.06; 1.58;  M0+IIIa           ;*
037.952917;+89.264167;     424; 424;  1Alp UMi;  8890; 1477;Alp UMi  ;02 31 48.7;+89 15 51; 2.02; 0.60;  F7:Ib-II          ;*
030.975000;+42.329722;     603; 603; 57Gam1And; 12533; 1630;         ;02 03 54.0;+42 19 47; 2.26; 1.37;  K3-IIb            ;*
031.793333;+23.462500;     617; 617; 13Alp Ari; 12929;     ;  725    ;02 07 10.4;+23 27 45; 2.00; 1.15;  K2-IIICa-1        ;*
047.042083;+40.955556;     936; 936; 26Bet Per; 19356; 2362;Bet Per  ;03 08 10.1;+40 57 20; 2.12;-0.05;  B8V               ;*
051.080833;+49.861111;    1017;1017; 33Alp Per; 20902;     ; 1125    ;03 24 19.4;+49 51 40; 1.79; 0.48;  F5Ib              ;*
081.282917; +6.349722;    1790;1790; 24Gam Ori; 35468;     ; 1972    ;05 25 07.9;+06 20 59; 1.64;-0.22;  B2III             ;*
081.572917;+28.607500;    1791;1791;112Bet Tau; 35497;     ;         ;05 26 17.5;+28 36 27; 1.65;-0.13;  B7III             ;*
083.001667; -0.299167;    1852;1852; 34Del Ori; 36486; 4134;Del Ori  ;05 32 00.4;-00 17 57; 2.23;-0.22;  O9.5II            ;*
084.053333; -1.201944;    1903;1903; 46Eps Ori; 37128;     ;Eps Ori  ;05 36 12.8;-01 12 07; 1.70;-0.19;  B0Ia              ;*
085.189583; -1.942778;    1948;1948; 50Zet Ori; 37742; 4263; 2553    ;05 40 45.5;-01 56 34; 2.05;-0.21;  O9.7Ib            ;*
086.939167; -9.669722;    2004;2004; 53Kap Ori; 38771;     ; 2641    ;05 47 45.4;-09 40 11; 2.06;-0.17;  B0.5Ia            ;*
089.882083;+44.947500;    2088;2088; 34Bet Aur; 40183; 4556;Bet Aur  ;05 59 31.7;+44 56 51; 1.90; 0.03;  A2IV              ;*
095.675000;-17.955833;    2294;2294;  2Bet CMa; 44743;     ;Bet CMa  ;06 22 42.0;-17 57 21; 1.98;-0.23;  B1II-III          ;*
099.427917;+16.399167;    2421;2421; 24Gam Gem; 47105;     ;         ;06 37 42.7;+16 23 57; 1.93; 0.00;  A0IV              ;*
107.097917;-26.393333;    2693;2693; 25Del CMa; 54605;     ; 3424    ;07 08 23.5;-26 23 36; 1.84; 0.68;  F8Ia              ;*
111.023750;-29.303056;    2827;2827; 31Eta CMa; 58350;     ;         ;07 24 05.7;-29 18 11; 2.45;-0.08;  B5Ia              ;*
113.650000;+31.888333;    2891;2891; 66Alp Gem; 60179; 6175;YY Gem   ;07 34 36.0;+31 53 18; 1.98; 0.03;  A1V               ;*
120.896250;-40.003333;    3165;3165;   Zet Pup; 66811;     ;         ;08 03 35.1;-40 00 12; 2.25;-0.26;  O5f               ;*
