_RAJ2000;_DEJ2000;recno;HR;Name;HD;ADS;VarID;RAJ2000;DEJ2000;Vmag;B-V;SpType;NoteFlag
001.291250;+45.229167;       1;   1;          ;     3;   46;         ;00 05 09.9;+45 13 45; 6.70; 0.07;  A1Vn              ;
002.623750;+57.165556;      28;  28;          ;   584;     ;         ;00 10 29.7;+57 09 56; 6.74;-0.08;  B7IV              ;
002.660833;-73.224444;      32;  32;          ;   661;     ;         ;00 10 38.6;-73 13 28; 6.64; 0.37;  F2V+F6V           ;*
003.210000;+37.693333;      38;  38;          ;   829;     ;         ;00 12 50.4;+37 41 36; 6.73;-0.13;  B2V               ;*
004.204167;-78.780556;      64;  64;          ;  1324;     ;         ;00 16 49.0;-78 46 50; 6.77; 0.46;  F3III             ;
005.021667;+48.865278;      76;  76;          ;  1561;     ;         ;00 20 05.2;+48 51 55; 6.52;     ;  A0V s             ;
005.227083;+10.976944;      81;  81;          ;  1663;  287;         ;00 20 54.5;+10 58 37; 6.56;     ;  A0V               ;*
005.802500;-31.036111;      89;  89;          ;  1909;     ;         ;00 23 12.6;-31 02 10; 6.55; 0.00;  B9IVMn            ;*
006.008333;+38.577222;      90;  90;          ;  1967;     ;R And    ;00 24 02.0;+38 34 38; 7.39; 1.97;  S6.5IIIeZr6Ti2    ;*
007.453750;-32.116667;     116; 116;          ;  2632;     ;         ;00 29 48.9;-32 07 00; 6.57; 1.34;  K4III             ;
008.111667;+43.494722;     128; 128;          ;  2888;     ;         ;00 32 26.8;+43 29 41; 6.70;-0.01;  A1Vn              ;*
008.143750;+27.580556;     133; 133;          ;  2924;     ;         ;00 32 34.5;+27 34 50; 6.67;     ;  A2IV              ;
009.670000;-73.137222;     169; 169;          ;  3719;     ;         ;00 38 40.8;-73 08 14; 6.85; 0.11;  A1m               ;
009.991250;-33.961667;     170; 170;          ;  3735;     ;Z Scl    ;00 39 57.9;-33 57 42; 6.69; 0.51;  F8V               ;*
011.562917;+55.305278;     204; 204;          ;  4321;     ;         ;00 46 15.1;+55 18 19; 6.52;     ;  A2III             ;
011.978333;+20.925278;     217; 217; 61    Psc;  4568;     ;         ;00 47 54.8;+20 55 31; 6.54; 0.50;  F8V               ;*
012.470000;+27.710833;     230; 230; 65    Psc;  4757;  683;         ;00 49 52.8;+27 42 39; 7.00; 0.36;  F4III             ;*
012.471667;+27.710278;     231; 231; 65    Psc;  4758;  683;         ;00 49 53.2;+27 42 37; 7.10;     ;  F5III             ;*
012.967083;-43.709167;     245; 245;          ;  5042;     ;         ;00 51 52.1;-43 42 33; 6.90; 0.35;  F2V+F5V           ;*
013.222500;+38.548611;     246; 246;          ;  5066;     ;         ;00 52 53.4;+38 32 55; 6.69; 0.02;  A2V               ;
015.014167;+44.711111;     282; 282;          ;  5788;  824;         ;01 00 03.4;+44 42 40; 6.84;     ;  A2Vn              ;*
016.195000;+51.010000;     302; 302;          ;  6300;     ;         ;01 04 46.8;+51 00 36; 6.54;-0.08;  B3V               ;*
016.151667;+39.991111;     305; 305;          ;  6314;     ;         ;01 04 36.4;+39 59 28; 6.72; 0.31;  F0Vn              ;
016.595000;+62.761667;     309; 309;          ;  6416;     ;         ;01 06 22.8;+62 45 42; 6.54; 0.19;  A5Vn              ;*
016.464167; +4.909444;     314; 314; 77    Psc;  6480;  903;         ;01 05 51.4;+04 54 34; 7.25; 0.49;  F6V               ;*
016.610417;-35.660833;     323; 323;          ;  6619;     ;         ;01 06 26.5;-35 39 39; 6.61; 0.14;  A1V               ;*
018.097500;-30.802222;     358; 358;          ;  7259;     ;         ;01 12 23.4;-30 48 08; 6.52; 0.48;  F7IV              ;
019.102083;+48.082222;     369; 369;          ;  7546;     ;         ;01 16 24.5;+48 04 56; 6.61;-0.05;  B9IIIpSi          ;
019.350417;+31.744722;     374; 374;          ;  7724;     ;         ;01 17 24.1;+31 44 41; 6.73;     ;  K0                ;
021.722917; +3.535278;     419; 419;          ;  8803; 1148;         ;01 26 53.5;+03 32 07; 6.58;-0.04;  B9V+A8V           ;*
021.945833;+40.335556;     422; 422;          ;  8837;     ;         ;01 27 47.0;+40 20 08; 6.60;-0.04;  A0III             ;*
022.180417;-33.763611;     431; 431;          ;  9065;     ;WZ Scl   ;01 28 43.3;-33 45 49; 6.58; 0.30;  F0IV              ;*
023.264583; -9.014722;     444; 444;          ;  9484;     ;Var      ;01 33 03.5;-09 00 53; 6.59;-0.04;  A0III             ;*
024.343750;+74.300833;     449; 449;          ;  9612;     ;         ;01 37 22.5;+74 18 03; 6.58; 0.03;  B9Ve              ;
024.708333;-25.021944;     474; 474;          ; 10161; 1298;         ;01 38 50.0;-25 01 19; 6.70;-0.08;  B9Vn              ;
024.700833;-53.438889;     479; 479;          ; 10241;     ;         ;01 38 48.2;-53 26 20; 6.84; 0.44;  F5IV-V            ;*
025.512500;+61.038333;     481; 481;          ; 10260;     ;         ;01 42 03.0;+61 02 18; 6.71;-0.03;  B8IIIpSi          ;*
025.421250;-50.038889;     501; 501;          ; 10553;     ;         ;01 41 41.1;-50 02 20; 6.64; 0.12;  A3V               ;
026.647083;+17.413056;     515; 515;          ; 10845;     ;VY Psc   ;01 46 35.3;+17 24 47; 6.55; 0.25;  A9III             ;*
029.485000;+41.694444;     562; 562;          ; 11905;     ;         ;01 57 56.4;+41 41 40; 6.78;-0.06;  B8III             ;*
031.167083;+65.103333;     598; 598;          ; 12468;     ;         ;02 04 40.1;+65 06 12; 6.52; 0.00;  A0V               ;
033.867917; -9.465556;     658; 658;          ; 13936;     ;         ;02 15 28.3;-09 27 56; 6.55;-0.02;  A0V               ;
034.389167;+44.306944;     663; 663;          ; 14028;     ;W And    ;02 17 33.4;+44 18 25; 6.70;     ;  M7-8Se            ;*
034.293333;+23.767778;     665; 665;          ; 14067;     ;         ;02 17 10.4;+23 46 04; 6.55; 1.02;  G9III             ;
035.053750;+64.337222;     668; 668;          ; 14171;     ;         ;02 20 12.9;+64 20 14; 6.60;-0.03;  B9.5V             ;
034.905417;+39.835000;     677; 677;          ; 14272;     ;         ;02 19 37.3;+39 50 06; 6.63;-0.09;  B8V               ;
035.777083;-37.576389;     700; 700;          ; 14890;     ;         ;02 23 06.5;-37 34 35; 6.53; 1.61;  K2III             ;
037.354167;+55.536389;     716; 716;          ; 15253; 1878;         ;02 29 25.0;+55 32 11; 6.51; 0.09;  A2pShell          ;*
037.480833;-22.682778;     730; 730;          ; 15588; 1906;         ;02 29 55.4;-22 40 58; 6.77; 0.19;  A9V               ;
037.557500;-25.186389;     733; 733;          ; 15634;     ;TY For   ;02 30 13.8;-25 11 11; 6.51; 0.29; dA9n               ;*
039.336667;+39.895833;     760; 760;          ; 16219;     ;         ;02 37 20.8;+39 53 45; 6.54;-0.12;  B5V               ;*
038.390000;-62.586944;     762; 762;          ; 16226;     ;         ;02 33 33.6;-62 35 13; 6.77;-0.06;  B9V               ;
039.240417;+24.648333;     764; 764; 30    Ari; 16232; 1982;         ;02 36 57.7;+24 38 54; 7.09; 0.50;  F4V               ;*
040.010417;-30.633889;     786; 786;          ; 16733;     ;         ;02 40 02.5;-30 38 02; 6.52; 1.04;  K0III             ;
039.882083;-64.281944;     798; 798;          ; 16891;     ;         ;02 39 31.7;-64 16 55; 6.55;-0.08;  B8V               ;*
041.318750;-46.287222;     822; 822;          ; 17325;     ;         ;02 45 16.5;-46 17 14; 6.85; 1.36;  K2III             ;
041.983333;-12.460556;     832; 832;          ; 17491;     ;Z Eri    ;02 47 56.0;-12 27 38; 6.90; 1.56;  M4III             ;*
041.890417;-35.550833;     835; 835;   Eta1For; 17528;     ;         ;02 47 33.7;-35 33 03; 6.51; 0.96;  K0-1III           ;
043.587083;-64.435556;     880; 880;          ; 18423;     ;         ;02 54 20.9;-64 26 08; 6.56; 1.39;  K2-3III           ;
045.222500;+52.352222;     891; 891;          ; 18538; 2270;         ;03 00 53.4;+52 21 08; 6.74; 0.00;  B9V               ;*
046.361250;+25.255278;     927; 927; 52    Ari; 19134; 2336;         ;03 05 26.7;+25 15 19; 6.80;-0.02;  B7V               ;*
046.361250;+25.255278;     928; 928; 52    Ari; 19135; 2336;         ;03 05 26.7;+25 15 19; 7.00;     ;  B7V               ;*
049.047083;-30.827500;     990; 990;          ; 20423;     ;         ;03 16 11.3;-30 49 39; 6.65;-0.07;  A0V               ;
051.451667;+53.921667;    1020;1020;          ; 21004;     ;         ;03 25 48.4;+53 55 18; 6.51; 0.29;  A9III-IV          ;
051.289167;+41.257222;    1026;1026;          ; 21038;     ;         ;03 25 09.4;+41 15 26; 6.51;     ;  A0V               ;
051.763333;+18.756389;    1036;1036;          ; 21335;     ;         ;03 27 03.2;+18 45 23; 6.57; 0.15;  A3Vnp             ;*
053.801667;+73.346944;    1055;1055;          ; 21610;     ;         ;03 35 12.4;+73 20 49; 6.57; 0.03;  A0Vn              ;
053.602917;-65.764444;    1104;1104;          ; 22634;     ;         ;03 34 24.7;-65 45 52; 6.75; 0.17;  A3V               ;
055.343333;-19.584722;    1128;1128;          ; 23055;     ;         ;03 41 22.4;-19 35 05; 6.59; 0.09;  A3V               ;
056.969167;+33.600000;    1163;1163;          ; 23625; 2772; 1305    ;03 47 52.6;+33 36 00; 6.57; 0.08;  B2.5V             ;*
056.833750;-29.901944;    1179;1179;          ; 23856;     ;         ;03 47 20.1;-29 54 07; 6.55; 0.49;  F8V               ;
057.902500;+22.031667;    1193;1193;          ; 24154;     ;         ;03 51 36.6;+22 01 54; 6.83;     ;  K0III             ;*
057.656667;-36.425278;    1200;1200;          ; 24305;     ;         ;03 50 37.6;-36 25 31; 6.86;-0.04;  B9.5V             ;
059.512917;+34.814444;    1223;1223;          ; 24809;     ;V386 Per ;03 58 03.1;+34 48 52; 6.53; 0.23;  A8V               ;*
060.065417;-51.564722;    1250;1250;          ; 25470;     ;XY Dor   ;04 00 15.7;-51 33 53; 6.51; 1.64;  M1III             ;*
060.903333;-20.158333;    1259;1259;          ; 25661;     ;         ;04 03 36.8;-20 09 30; 7.01; 1.22;  K2II              ;
061.962917;+62.330000;    1260;1260;          ; 25638; 2984;SZ Cam   ;04 07 51.1;+62 19 48; 6.99; 0.42;  B0III             ;*
061.854583;-42.916944;    1285;1285;          ; 26262;     ;         ;04 07 25.1;-42 55 01; 6.59; 0.93;  K0III             ;
062.141250;-45.864722;    1291;1291;          ; 26413;     ;         ;04 08 33.9;-45 51 53; 6.59; 0.38;  F2V               ;
063.380417; +8.890556;    1308;1308;          ; 26677; 3063;         ;04 13 31.3;+08 53 26; 6.51; 0.16;  A2m               ;*
063.131667;-44.368333;    1316;1316;          ; 26820;     ;         ;04 12 31.6;-44 22 06; 6.71; 1.48;  K3-4III           ;
