_RAJ2000;_DEJ2000;recno;HR;Name;HD;ADS;VarID;RAJ2000;DEJ2000;Vmag;B-V;SpType;NoteFlag
063.857500; +6.199722;    1321;1321;          ; 26913; 3085;V891 Tau ;04 15 25.8;+06 11 59; 6.93; 0.70;  G5IV              ;*
064.602083; +9.486667;    1334;1334;          ; 27236;     ;         ;04 18 24.5;+09 29 12; 6.54; 0.16;  A4III             ;
065.204167; +9.225556;    1361;1361;          ; 27505;     ;         ;04 20 49.0;+09 13 32; 6.53; 0.15;  A4V               ;
066.235000;-34.757778;    1398;1398;          ; 28143;     ;         ;04 24 56.4;-34 45 28; 6.55; 0.44;  F2III             ;*
067.428750;+10.521667;    1420;1420;          ; 28475;     ;         ;04 29 42.9;+10 31 18; 6.79; 0.09;  B5V               ;
065.712083;-82.899167;    1485;1485;          ; 29598;     ;         ;04 22 50.9;-82 53 57; 6.76; 0.20;  A7IV-V            ;*
070.076250;-58.943611;    1504;1504;          ; 30003;     ;         ;04 40 18.3;-58 56 37; 6.53; 0.68;  G5V               ;*
070.894167; -8.793611;    1505;1505; 55    Eri; 30020; 3409;DW Eri   ;04 43 34.6;-08 47 37; 6.82; 0.39;  F4IIIpSr          ;*
070.896250; -8.796111;    1506;1506; 55    Eri; 30021; 3409;         ;04 43 35.1;-08 47 46; 6.70; 0.92;  G8III             ;*
071.456667;-34.005000;    1524;1524;          ; 30397;     ;         ;04 45 49.6;-34 00 18; 6.86; 0.00;  A0V               ;
072.140833;-43.980000;    1548;1548;          ; 30788;     ;         ;04 48 33.8;-43 58 48; 6.72; 0.95;  G8III             ;
073.482500; +1.569444;    1565;1565;          ; 31209;     ;         ;04 53 55.8;+01 34 10; 6.61; 0.04;  A1Vn              ;
073.875833;-25.727778;    1583;1583;          ; 31517;     ;         ;04 55 30.2;-25 43 40; 6.72; 0.27;  F0-2III           ;
076.054167;+73.763889;    1587;1587;          ; 31563;     ;         ;05 04 13.0;+73 45 50; 6.66;     ;  K0                ;
075.096667;+39.655000;    1602;1602;  6    Aur; 31780;     ;         ;05 00 23.2;+39 39 18; 6.58;     ;  K4I               ;
075.135833; +3.615278;    1609;1609;          ; 32039; 3597; 1800    ;05 00 32.6;+03 36 55; 7.03;     ;  B9Vn              ;*
075.141250; +3.616111;    1610;1610;          ; 32040; 3597; 1800    ;05 00 33.9;+03 36 58; 6.66;-0.07;  B9Vn              ;*
082.950000;+85.938611;    1616;1616;          ; 32196;     ;         ;05 31 48.0;+85 56 19; 6.51; 0.32;  A5m               ;*
076.153750;+32.320278;    1627;1627;          ; 32428;     ;         ;05 04 36.9;+32 19 13; 6.62; 0.27;  A4m               ;*
076.591667;+54.405833;    1630;1630;          ; 32445; 3667;         ;05 06 22.0;+54 24 21; 7.24;     ;  G5                ;*
076.157917;+27.696111;    1632;1632;          ; 32480;     ;         ;05 04 37.9;+27 41 46; 6.60; 0.24;  F0III             ;
076.503750;+35.936389;    1639;1639;          ; 32608;     ;         ;05 06 00.9;+35 56 11; 6.52; 0.16;  A5V               ;
077.061667;-35.718333;    1680;1680;          ; 33377;     ;         ;05 08 14.8;-35 43 06; 6.52; 1.08;  K1III             ;
077.922500; +0.514722;    1690;1690;          ; 33647; 3767;V1085 Ori;05 11 41.4;+00 30 53; 6.67;-0.07;  B9Vn              ;*
077.899583;-37.395278;    1699;1699;          ; 33872;     ;         ;05 11 35.9;-37 23 43; 6.57; 1.62;  K5III             ;
085.952917;+85.668056;    1714;1714;          ; 34109;     ;         ;05 43 48.7;+85 40 05; 6.60;     ;  A2V               ;
078.443750;-35.825556;    1715;1715;          ; 34167;     ; 1877    ;05 13 46.5;-35 49 32; 6.98; 1.47;  K4III             ;
078.945833;-34.926667;    1730;1730;          ; 34435;     ;         ;05 15 47.0;-34 55 36; 6.66; 0.15;  A2III-IV          ;
079.200417;-17.141667;    1731;1731;          ; 34447;     ;         ;05 16 48.1;-17 08 30; 6.56;-0.16;  B3IV              ;
080.009583;+44.425556;    1733;1733;          ; 34498;     ;         ;05 20 02.3;+44 25 32; 6.62;     ;  K0                ;
080.163750;+46.963889;    1736;1736;          ; 34533; 3903;         ;05 20 39.3;+46 57 50; 6.54; 0.60;  GIII+A2V          ;*
082.357083;+77.977500;    1745;1745;          ; 34653;     ;         ;05 29 25.7;+77 58 39; 6.56; 0.14;  A7III             ;
079.826250;-18.509722;    1754;1754;          ; 34797; 3910;TX Lep   ;05 19 18.3;-18 30 35; 6.54;-0.11;  B8/9III/IV        ;*
080.330417; +4.011944;    1761;1761;          ; 34959;     ;         ;05 21 19.3;+04 00 43; 6.57;-0.09;  B5Vp              ;*
080.462500;-13.756111;    1769;1769;          ; 35104;     ;         ;05 21 51.0;-13 45 22; 6.56;-0.09;  B8V               ;
081.304167;+34.855278;    1779;1779;          ; 35295; 4000;         ;05 25 13.0;+34 51 19; 6.55; 1.11;  K1pIII-IV+F6V     ;*
080.912500;-37.336667;    1797;1797;          ; 35528;     ;         ;05 23 39.0;-37 20 12; 6.82; 1.04;  K1III             ;
081.380000; -0.544167;    1800;1800;          ; 35548; 4020;         ;05 25 31.2;-00 32 39; 6.57;-0.05;  B9pHgSi           ;*
078.107083;-81.541667;    1815;1815;          ; 35798;     ;         ;05 12 25.7;-81 32 30; 6.51; 1.11;  K1III             ;
082.277917;-30.116667;    1838;1838;          ; 36255;     ;         ;05 29 06.7;-30 07 00; 6.75; 1.06;  G8/K0III          ;
083.369583;+42.108889;    1846;1846;          ; 36404;     ;         ;05 33 28.7;+42 06 32; 6.55;-0.02;  B9IIIp:Hg:        ;
083.002083; -0.284444;    1851;1851; 34Del Ori; 36485; 4134;         ;05 32 00.5;-00 17 04; 6.85;-0.16;  B2V               ;*
082.322500;-62.314444;    1867;1867;          ; 36689;     ;         ;05 29 17.4;-62 18 52; 6.59; 1.53;  K4-5III           ;
083.490000; +1.407778;    1871;1871;          ; 36741;     ;         ;05 33 57.6;+01 24 28; 6.59;-0.17;  B2V               ;*
083.467083;-29.848889;    1888;1888;          ; 36965;     ;         ;05 33 52.1;-29 50 56; 6.53;-0.02;  A0V               ;
083.840833; -4.493333;    1890;1890;          ; 37017;     ;V1046 Ori;05 35 21.8;-04 29 36; 6.56;-0.13;  B1.5V             ;*
083.816250; -5.387222;    1893;1893; 41The1Ori; 37020; 4186;V1016 Ori;05 35 15.9;-05 23 14; 6.73; 0.02;  B0.5V             ;*
083.822083; -5.387778;    1896;1896; 41The1Ori; 37023; 4186; 2295    ;05 35 17.3;-05 23 16; 6.70; 0.09;  B0.5Vp            ;*
084.062500; -5.648056;    1906;1906;          ; 37150;     ; 2416    ;05 36 15.0;-05 38 53; 6.54;-0.18;  B3V               ;*
083.760000;-58.871111;    1930;1930;          ; 37462;     ;         ;05 35 02.4;-58 52 16; 6.75; 1.45;  K4III             ;
084.696250; -2.594167;    1932;1932;          ; 37479; 4241;V1030 Ori;05 38 47.1;-02 35 39; 6.65;-0.19;  B2Vp              ;*
085.477500;+23.326389;    1951;1951;          ; 37752;     ;         ;05 41 54.6;+23 19 35; 6.59;-0.06;  B8p               ;*
085.191667;-10.409444;    1957;1957;          ; 37808;     ;V1051 Ori;05 40 46.0;-10 24 34; 6.52;-0.16;  B9.5IIIpSi4200    ;*
086.456250;+40.507222;    1974;1974;          ; 38189;     ;         ;05 45 49.5;+40 30 26; 6.58; 0.25;  A3Del Del         ;
086.414167;+20.695000;    1977;1977;          ; 38307;     ;Y Tau    ;05 45 39.4;+20 41 42; 6.95; 3.03;  C5II              ;*
087.641667;+56.918889;    1992;1992; 29    Cam; 38618; 4412;         ;05 50 34.0;+56 55 08; 6.54;     ;  A4IV-V            ;*
086.992083;-40.652500;    2017;2017;          ; 39040;     ;         ;05 47 58.1;-40 39 09; 6.61; 1.12;  K1III             ;
088.329583;+20.299167;    2038;2038;          ; 39417;     ;         ;05 53 19.1;+20 17 57; 6.71;-0.07;  B9V               ;
088.634167;+11.762500;    2050;2050;          ; 39662;     ;         ;05 54 32.2;+11 45 45; 6.59; 0.03;  A2V               ;*
088.198750;-38.525833;    2055;2055;          ; 39752;     ;         ;05 52 47.7;-38 31 33; 6.70; 1.08;  K1III             ;
088.644583; -4.063889;    2058;2058;          ; 39777;     ;         ;05 54 34.7;-04 03 50; 6.57;-0.18;  B1.5V             ;*
088.489167;-19.638333;    2060;2060;          ; 39789;     ;         ;05 53 57.4;-19 38 18; 6.69; 0.10;  A4V               ;
086.950417;-72.702222;    2062;2062;   Lam Men; 39810;     ;         ;05 47 48.1;-72 42 08; 6.53; 1.08;  K0III             ;
089.014583;+13.925278;    2067;2067;          ; 39881; 4519;         ;05 56 03.5;+13 55 31; 6.60; 0.65;  G5IV              ;*
088.345417;-42.921389;    2069;2069;          ; 39901;     ;         ;05 53 22.9;-42 55 17; 6.55; 1.37;  K3III             ;
088.544583;-50.361944;    2083;2083;          ; 40105;     ;         ;05 54 10.7;-50 21 43; 6.52; 0.90;  G8IV              ;
088.549583;-64.482222;    2104;2104;          ; 40455;     ;         ;05 54 11.9;-64 28 56; 6.63; 0.38;  F0III             ;
089.907083; -1.444444;    2109;2109;          ; 40574;     ;         ;05 59 37.7;-01 26 40; 6.63;-0.07;  B8IIIn            ;
090.571250; +1.694444;    2127;2127;          ; 40964;     ;         ;06 02 17.1;+01 41 40; 6.59;-0.05;  B8V               ;
091.440417;-24.195556;    2156;2156;          ; 41698;     ;S Lep    ;06 05 45.7;-24 11 44; 6.95; 1.63;  M6III             ;*
091.716250;-11.173611;    2161;2161;          ; 41814;     ;         ;06 06 51.9;-11 10 25; 6.66;-0.15;  B3V               ;
091.195417;-48.458611;    2162;2162;          ; 41824;     ; 2827    ;06 04 46.9;-48 27 31; 6.58; 0.72;  G6V               ;*
092.196667; +8.670000;    2167;2167;          ; 42035;     ;         ;06 08 47.2;+08 40 12; 6.55;-0.07;  B9V               ;
092.902083;+48.713056;    2175;2175; 41    Aur; 42126; 4773;         ;06 11 36.5;+48 42 47; 6.82;     ;  A8V               ;*
091.757917;-45.091389;    2178;2178;          ; 42168;     ;         ;06 07 01.9;-45 05 29; 6.51; 1.16;  K1III             ;
092.964167;+21.868611;    2190;2190;          ; 42475;     ;TV Gem   ;06 11 51.4;+21 52 07; 6.56; 2.25;  M0-1Iab           ;*
093.389167;+18.680278;    2207;2207;          ; 42784;     ;         ;06 13 33.4;+18 40 49; 6.58;-0.08;  B8Vnn             ;*
093.185000; -2.504444;    2210;2210;          ; 42824;     ;         ;06 12 44.4;-02 30 16; 6.62; 0.05;  A2V               ;
093.192917;-17.763056;    2213;2213;          ; 42927;     ;         ;06 12 46.3;-17 45 47; 6.52;-0.17;  B3III             ;
093.912500;+36.148611;    2217;2217;          ; 43017; 4849;         ;06 15 39.0;+36 08 55; 6.92; 0.45;  F4IV              ;*
093.388750;-29.396111;    2226;2226;          ; 43179;     ;         ;06 13 33.3;-29 23 46; 6.54;-0.10;  B7V               ;
094.394583;+46.424167;    2228;2228; 42    Aur; 43244;     ;         ;06 17 34.7;+46 25 27; 6.52; 0.27;  F0V               ;*
093.945833; +4.283611;    2232;2232;          ; 43317;     ;         ;06 15 47.0;+04 17 01; 6.64;-0.17;  B3IV              ;
094.088333; +1.080278;    2246;2246;          ; 43461;     ;         ;06 16 21.2;+01 04 49; 6.63;-0.05;  B6V               ;
094.243333; +7.053056;    2248;2248;          ; 43526;     ;         ;06 16 58.4;+07 03 11; 6.57;-0.12;  B7III             ;
094.388750;+14.058333;    2250;2250;          ; 43583;     ;         ;06 17 33.3;+14 03 30; 6.59;-0.03;  A0V               ;
093.988333;-29.788333;    2252;2252;          ; 43636;     ;         ;06 15 57.2;-29 47 18; 6.67; 1.55;  K4III             ;
094.396667;-10.725278;    2255;2255;  6    Mon; 43760;     ;         ;06 17 35.2;-10 43 31; 6.75; 0.35;  F0Del Del         ;
095.217917;+11.756389;    2276;2276;          ; 44173;     ;         ;06 20 52.3;+11 45 23; 6.54;-0.10;  B5III             ;
094.695000;-50.359167;    2281;2281;          ; 44362;     ;         ;06 18 46.8;-50 21 33; 7.04; 0.83;  G2Ib              ;
093.774583;-71.702778;    2283;2283;          ; 44447;     ;         ;06 15 05.9;-71 42 10; 6.64; 0.56;  F8V               ;
095.025417;-48.741111;    2290;2290;          ; 44594;     ;         ;06 20 06.1;-48 44 28; 6.60; 0.66;  G3V               ;
095.844583; -4.687222;    2295;2295;          ; 44756;     ;         ;06 23 22.7;-04 41 14; 6.67; 0.06;  A2V               ;
096.219167;+29.707222;    2297;2297;          ; 44766;     ;         ;06 24 52.6;+29 42 26; 6.71;-0.06;  B8IIIn            ;
095.943750; +4.595556;    2299;2299;          ; 44770; 5012;         ;06 23 46.5;+04 35 44; 6.72; 0.45;  F5V               ;*
095.948333;-19.785278;    2306;2306;          ; 44953; 5023; 2944    ;06 23 47.6;-19 47 07; 6.60;-0.15;  B8IIIHe wk        ;*
096.326667; +1.501111;    2312;2312;          ; 45050;     ;         ;06 25 18.4;+01 30 04; 6.66;-0.04;  B9V               ;
096.962917;+47.405278;    2314;2314;          ; 45105;     ;         ;06 27 51.1;+47 24 19; 6.56;-0.04;  A0V               ;
096.444167; +2.272222;    2315;2315;          ; 45137;     ;         ;06 25 46.6;+02 16 20; 6.51;-0.03;  A0V               ;
096.744583; +0.840833;    2327;2327;          ; 45357;     ;         ;06 26 58.7;+00 50 27; 6.71; 0.04;  A1Vn              ;
096.200833;-52.806389;    2341;2341;          ; 45509;     ;         ;06 24 48.2;-52 48 23; 6.51; 1.70;  K5-M0III          ;
100.070000;+79.599444;    2346;2346;          ; 45560;     ;         ;06 40 16.8;+79 35 58; 6.54;     ;  A1V               ;
101.125833;+82.115278;    2350;2350;          ; 45618;     ;         ;06 44 30.2;+82 06 55; 6.65; 0.17;  A5V               ;
097.250000;+11.019444;    2351;2351;          ; 45638;     ;         ;06 29 00.0;+11 01 10; 6.59;     ;  A9IV              ;
097.522917; +9.029167;    2362;2362;          ; 45827;     ;         ;06 30 05.5;+09 01 45; 6.57; 0.14;  A0III             ;*
097.913333;+11.792222;    2374;2374;          ; 46075;     ;         ;06 31 39.2;+11 47 32; 6.65;-0.12;  B6III             ;*
099.000000; +4.497500;    2413;2413;          ; 46885;     ;         ;06 36 00.0;+04 29 51; 6.55;-0.06;  B9III             ;*
099.706250; +4.700556;    2441;2441;          ; 47431;     ;         ;06 38 49.5;+04 42 02; 6.57;-0.07;  B8IIIn            ;*
100.132500; +6.371667;    2454;2454;          ; 47756;     ;         ;06 40 31.8;+06 22 18; 6.51;-0.14;  B8IIISi           ;
099.987083;-38.158889;    2465;2465;          ; 48087;     ;         ;06 39 56.9;-38 09 32; 6.58; 1.18;  K1IIICNIb         ;
100.205417;-47.674722;    2476;2476;          ; 48403;     ;         ;06 40 49.3;-47 40 29; 6.65; 1.58;  M2III             ;
101.260000;-30.586111;    2497;2497;          ; 49028;     ;         ;06 45 02.4;-30 35 10; 6.54;-0.11;  B8IV              ;*
100.240833;-71.775556;    2505;2505;          ; 49268;     ;         ;06 40 57.8;-71 46 32; 6.51; 1.11;  K1IIICNII         ;
101.513750;-39.540000;    2507;2507;          ; 49319;     ;         ;06 46 03.3;-39 32 24; 6.62;-0.13;  B6Vnne            ;*
101.358750;-52.201111;    2513;2513;          ; 49396;     ;         ;06 45 26.1;-52 12 04; 6.57; 1.08;  G6Iab             ;
102.525000;-27.333889;    2537;2537;          ; 50012;     ; 3234    ;06 50 06.0;-27 20 02; 7.04;-0.18;  B2IV              ;*
102.490833;-45.450000;    2546;2546;          ; 50196;     ; 3236    ;06 49 57.8;-45 27 00; 6.55; 1.51;  K5-M0III          ;*
103.165417;-42.504444;    2575;2575;          ; 50785;     ;         ;06 52 39.7;-42 30 16; 6.52; 0.42;  F5II-III          ;
103.554167;-23.928333;    2583;2583;          ; 50896;     ;EZ CMa   ;06 54 13.0;-23 55 42; 6.91;-0.28;  WN5-B             ;*
103.195417;-54.090000;    2587;2587;          ; 51043;     ;         ;06 52 46.9;-54 05 24; 6.57; 1.08;  G5Ib-II           ;
104.311667;-22.203333;    2603;2603;          ; 51630;     ;HH CMa   ;06 57 14.8;-22 12 12; 6.61;-0.19;  B1-2III:          ;*
105.321667;+32.414444;    2620;2620;          ; 52100; 5680;         ;07 01 17.2;+32 24 52; 6.59; 0.27;  A9IV              ;*
105.080417;-22.119444;    2628;2628;          ; 52437; 5687;FU CMa   ;07 00 19.3;-22 07 10; 6.53;-0.17;  B2IV-Vne          ;*
105.422500; +4.818056;    2629;2629;          ; 52479;     ;         ;07 01 41.4;+04 49 05; 6.63; 0.06;  A3V s             ;
105.479167; +5.557500;    2633;2633;          ; 52559;     ;         ;07 01 55.0;+05 33 27; 6.59;-0.02;  B2IV-V            ;*
106.084167; +1.488333;    2654;2654;          ; 53205;     ;         ;07 04 20.2;+01 29 18; 6.57; 0.01;  A0V               ;
105.995000;-43.611667;    2668;2668;          ; 53706;     ;         ;07 03 58.8;-43 36 42; 6.79; 0.80;  K0V               ;*
