_RAJ2000;_DEJ2000;recno;HR;Name;HD;ADS;VarID;RAJ2000;DEJ2000;Vmag;B-V;SpType;NoteFlag
001.333750; -5.707500;       3;   3; 33    Psc;    28;     ;Var?     ;00 05 20.1;-05 42 27; 4.61; 1.04;  K0IIIbCN-0.5      ;*
002.097083;+29.090556;      15;  15; 21Alp And;   358;   94;Alp And  ;00 08 23.3;+29 05 26; 2.06;-0.11;  B8IVpMnHg         ;*
002.294583;+59.149722;      21;  21; 11Bet Cas;   432;  107;Bet Cas  ;00 09 10.7;+59 08 59; 2.27; 0.34;  F2III-IV          ;*
002.337500;-27.987778;      24;  24;   Kap1Scl;   493;  111;         ;00 09 21.0;-27 59 16; 5.42; 0.42;  F2V               ;*
002.352917;-45.747500;      25;  25;   Eps Phe;   496;     ;         ;00 09 24.7;-45 44 51; 3.88; 1.03;  K0III             ;
002.580417;+46.072222;      27;  27; 22    And;   571;     ;         ;00 10 19.3;+46 04 20; 5.03; 0.40;  F2II              ;*
002.508750;-82.223889;      30;  30;   Gam3Oct;   636;     ;         ;00 10 02.1;-82 13 26; 5.28; 1.05;  G8III             ;
002.816250;-15.468056;      33;  33;  6    Cet;   693;     ;         ;00 11 15.9;-15 28 05; 4.89; 0.49;  F7V               ;
002.893333;-27.799722;      34;  34;   Kap2Scl;   720;     ;         ;00 11 34.4;-27 47 59; 5.41; 1.34;  K5III             ;
002.933333;-35.133056;      35;  35;   The Scl;   739;     ;         ;00 11 44.0;-35 07 59; 5.25; 0.44;  F4V               ;
003.041667;-17.938333;      37;  37;          ;   787;     ;         ;00 12 10.0;-17 56 18; 5.25; 1.48;  K5III             ;
003.309167;+15.183611;      39;  39; 88Gam Peg;   886;     ;Gam Peg  ;00 13 14.2;+15 11 01; 2.83;-0.23;  B2IV              ;*
003.650833;+20.206667;      45;  45; 89Chi Peg;  1013;     ;   99    ;00 14 36.2;+20 12 24; 4.80; 1.57;  M2+III            ;*
003.615000; -7.780556;      46;  46;          ;  1014;  180;AD Cet   ;00 14 27.6;-07 46 50; 5.12; 1.62;  M3+III            ;*
003.660000;-18.932778;      48;  48;  7    Cet;  1038;     ;AE Cet   ;00 14 38.4;-18 55 58; 4.44; 1.66;  M3III             ;*
004.272917;+38.681667;      63;  63; 24The And;  1280;     ;  116    ;00 17 05.5;+38 40 54; 4.61; 0.06;  A2V               ;*
004.582083;+36.785278;      68;  68; 25Sig And;  1404;     ;  118    ;00 18 19.7;+36 47 07; 4.52; 0.05;  A2V               ;*
004.857083; -8.823889;      74;  74;  8Iot Cet;  1522;     ;  123    ;00 19 25.7;-08 49 26; 3.56; 1.22;  K1.5III           ;*
005.017917;-64.874722;      77;  77;   Zet Tuc;  1581;     ;         ;00 20 04.3;-64 52 29; 4.23; 0.58;  F9V               ;
005.149583; +8.190278;      80;  80; 41    Psc;  1635;     ;  132    ;00 20 35.9;+08 11 25; 5.37; 1.34; gK3                ;
005.280417;+37.968611;      82;  82; 27Rho And;  1671;     ;         ;00 21 07.3;+37 58 07; 5.18; 0.42;  F5III             ;
005.380000;-28.981667;      84;  84;   Iot Scl;  1737;     ;         ;00 21 31.2;-28 58 54; 5.18; 1.00;  G5III             ;
005.442917;-20.057778;      85;  85;          ;  1760;     ;T Cet    ;00 21 46.3;-20 03 28; 5.12; 1.82;  M5IIe             ;*
006.197917;+61.831111;      93;  93; 12    Cas;  2011;     ;         ;00 24 47.5;+61 49 52; 5.40; 0.00;  B9III             ;
006.437917;-77.254167;      98;  98;   Bet Hyi;  2151;     ;  161    ;00 25 45.1;-77 15 15; 2.80; 0.62;  G2IV              ;*
