_RAJ2000;_DEJ2000;recno;HR;Name;HD;ADS;VarID;RAJ2000;DEJ2000;Vmag;B-V;SpType;NoteFlag
001.333750; -5.707500;       3;   3; 33    Psc;    28;     ;Var?     ;00 05 20.1;-05 42 27; 4.61; 1.04;  K0IIIbCN-0.5      ;*
002.337500;-27.987778;      24;  24;   Kap1Scl;   493;  111;         ;00 09 21.0;-27 59 16; 5.42; 0.42;  F2V               ;*
002.580417;+46.072222;      27;  27; 22    And;   571;     ;         ;00 10 19.3;+46 04 20; 5.03; 0.40;  F2II              ;*
002.508750;-82.223889;      30;  30;   Gam3Oct;   636;     ;         ;00 10 02.1;-82 13 26; 5.28; 1.05;  G8III             ;
002.816250;-15.468056;      33;  33;  6    Cet;   693;     ;         ;00 11 15.9;-15 28 05; 4.89; 0.49;  F7V               ;
002.893333;-27.799722;      34;  34;   Kap2Scl;   720;     ;         ;00 11 34.4;-27 47 59; 5.41; 1.34;  K5III             ;
002.933333;-35.133056;      35;  35;   The Scl;   739;     ;         ;00 11 44.0;-35 07 59; 5.25; 0.44;  F4V               ;
003.041667;-17.938333;      37;  37;          ;   787;     ;         ;00 12 10.0;-17 56 18; 5.25; 1.48;  K5III             ;
003.650833;+20.206667;      45;  45; 89Chi Peg;  1013;     ;   99    ;00 14 36.2;+20 12 24; 4.80; 1.57;  M2+III            ;*
003.615000; -7.780556;      46;  46;          ;  1014;  180;AD Cet   ;00 14 27.6;-07 46 50; 5.12; 1.62;  M3+III            ;*
004.272917;+38.681667;      63;  63; 24The And;  1280;     ;  116    ;00 17 05.5;+38 40 54; 4.61; 0.06;  A2V               ;*
004.582083;+36.785278;      68;  68; 25Sig And;  1404;     ;  118    ;00 18 19.7;+36 47 07; 4.52; 0.05;  A2V               ;*
005.149583; +8.190278;      80;  80; 41    Psc;  1635;     ;  132    ;00 20 35.9;+08 11 25; 5.37; 1.34; gK3                ;
005.280417;+37.968611;      82;  82; 27Rho And;  1671;     ;         ;00 21 07.3;+37 58 07; 5.18; 0.42;  F5III             ;
005.380000;-28.981667;      84;  84;   Iot Scl;  1737;     ;         ;00 21 31.2;-28 58 54; 5.18; 1.00;  G5III             ;
005.442917;-20.057778;      85;  85;          ;  1760;     ;T Cet    ;00 21 46.3;-20 03 28; 5.12; 1.82;  M5IIe             ;*
006.197917;+61.831111;      93;  93; 12    Cas;  2011;     ;         ;00 24 47.5;+61 49 52; 5.40; 0.00;  B9III             ;
007.012083;+17.893056;     103; 103; 47    Psc;  2411;     ;TV Psc   ;00 28 02.9;+17 53 35; 5.06; 1.65;  M3III             ;*
007.057083;+44.394444;     104; 104;          ;  2421;     ;         ;00 28 13.7;+44 23 40; 5.17; 0.03;  A2V s             ;*
006.982083;-33.007222;     105; 105;   Eta Scl;  2429;     ;Eta Scl  ;00 27 55.7;-33 00 26; 4.81; 1.64;  M4III             ;*
007.110000;-39.915000;     109; 109;          ;  2490;     ;         ;00 28 26.4;-39 54 54; 5.43; 1.56;  M0III             ;*
007.530417;+29.751667;     114; 114; 28    And;  2628;  409;GN And   ;00 30 07.3;+29 45 06; 5.23; 0.24;  A7III             ;*
007.594583;-23.787778;     118; 118;          ;  2696;     ;         ;00 30 22.7;-23 47 16; 5.19; 0.12;  A5Vn              ;*
007.943333;+54.522222;     123; 123; 14Lam Cas;  2772;  434;         ;00 31 46.4;+54 31 20; 4.73;-0.10;  B8Vn              ;*
007.854167;-48.803611;     125; 125;   Lam1Phe;  2834;     ;         ;00 31 25.0;-48 48 13; 4.77; 0.02;  A0V               ;*
007.890000;-62.965833;     127; 127;   Bet2Tuc;  2885;     ;         ;00 31 33.6;-62 57 57; 4.54; 0.15;  A2V+A7V           ;*
008.147917;+20.294444;     131; 131; 52    Psc;  2910;  452;         ;00 32 35.5;+20 17 40; 5.38; 1.08;  K0III             ;
008.182500;-63.031111;     136; 136;   Bet3Tuc;  3003;     ;         ;00 32 43.8;-63 01 52; 5.09; 0.04;  A0V               ;*
008.812083; -3.592778;     142; 142; 13    Cet;  3196;  490;  212    ;00 35 14.9;-03 35 34; 5.20; 0.56;  F8V               ;*
009.034583;+54.168611;     144; 144;          ;  3240;     ;         ;00 36 08.3;+54 10 07; 5.08;-0.11;  B7III             ;
009.194167;+44.488611;     152; 152;          ;  3346;     ;         ;00 36 46.6;+44 29 19; 5.13; 1.60;  K5-M0III          ;
